date,sales,promo
2023-10-02,144.68,0
2023-10-03,168.1,0
2023-10-04,189.02,1
2023-10-05,154.65,0
2023-10-06,147.13,0
2023-10-07,135.51,0
2023-10-08,142.54,0
2023-10-09,158.79,0
2023-10-10,178.05,0
2023-10-11,158.49,0
2023-10-12,177.48,0
2023-10-13,131.92,0
2023-10-14,138.34,0
2023-10-15,147.29,0
2023-10-16,156.7,0
2023-10-17,161.33,0
2023-10-18,167.68,0
2023-10-19,157.43,0
2023-10-20,143.78,0
2023-10-21,167.31,1
2023-10-22,146.4,0
2023-10-23,149.87,0
2023-10-24,174.47,0
2023-10-25,172.77,0
2023-10-26,168.83,0
2023-10-27,154.49,0
2023-10-28,134.84,0
2023-10-29,140.02,0
2023-10-30,162.35,0
2023-10-31,173.12,0
2023-11-01,171.1,0
2023-11-02,164.23,0
2023-11-03,180.63,1
2023-11-04,157.7,1
2023-11-05,149.84,0
2023-11-06,155.71,0
2023-11-07,167.45,0
2023-11-08,181.02,0
2023-11-09,190.85,1
2023-11-10,177.88,1
2023-11-11,153.83,0
2023-11-12,146.59,0
2023-11-13,163.74,0
2023-11-14,167.67,0
2023-11-15,195.78,1
2023-11-16,164.17,0
2023-11-17,153.1,0
2023-11-18,149.11,0
2023-11-19,140.84,0
2023-11-20,175.99,0
2023-11-21,183.06,1
2023-11-22,184.43,1
2023-11-23,175.43,0
2023-11-24,159.62,0
2023-11-25,150.3,0
2023-11-26,153.37,0
2023-11-27,160.11,0
2023-11-28,164.89,0
2023-11-29,175.71,0
2023-11-30,181.71,1
2023-12-01,162.05,0
2023-12-02,165.09,1
2023-12-03,142.7,0
2023-12-04,158.59,0
2023-12-05,196.33,1
2023-12-06,171.55,0
2023-12-07,161.51,0
2023-12-08,157.15,0
2023-12-09,149.19,0
2023-12-10,166.2,1
2023-12-11,158.35,0
2023-12-12,175.84,0
2023-12-13,185.44,1
2023-12-14,157.78,0
2023-12-15,170.42,1
2023-12-16,166.48,1
2023-12-17,153.7,0
2023-12-18,194.89,1
2023-12-19,181.81,0
2023-12-20,176.7,0
2023-12-21,169.85,0
2023-12-22,149.1,0
2023-12-23,149.0,0
2023-12-24,169.87,1
2023-12-25,166.62,0
2023-12-26,169.29,0
2023-12-27,203.09,1
2023-12-28,183.22,0
2023-12-29,177.21,1
2023-12-30,153.32,0
2023-12-31,158.66,0
2024-01-01,161.79,0
2024-01-02,178.66,0
2024-01-03,180.0,0
2024-01-04,172.7,0
2024-01-05,152.86,0
2024-01-06,171.26,1
2024-01-07,158.08,0
2024-01-08,177.57,0
2024-01-09,185.5,0
2024-01-10,198.08,0
2024-01-11,166.74,0
2024-01-12,166.98,0
2024-01-13,153.49,0
2024-01-14,192.57,1
2024-01-15,180.45,1
2024-01-16,172.06,0
2024-01-17,177.02,0
2024-01-18,156.85,0
2024-01-19,156.75,0
2024-01-20,146.91,0
2024-01-21,157.22,0
2024-01-22,170.61,0
2024-01-23,194.75,0
2024-01-24,190.38,0
2024-01-25,170.18,0
2024-01-26,154.73,0
2024-01-27,157.87,0
2024-01-28,146.41,0
2024-01-29,183.49,0
2024-01-30,190.14,0
2024-01-31,179.98,0
2024-02-01,162.05,0
2024-02-02,173.71,0
2024-02-03,173.98,1
2024-02-04,187.83,1
2024-02-05,157.04,0
2024-02-06,176.86,0
2024-02-07,184.73,0
2024-02-08,177.09,0
2024-02-09,160.23,0
2024-02-10,160.84,0
2024-02-11,150.35,0
2024-02-12,169.61,0
2024-02-13,183.58,0
2024-02-14,209.77,1
2024-02-15,183.37,0
2024-02-16,155.8,0
2024-02-17,144.54,0
2024-02-18,170.07,0
2024-02-19,174.37,0
2024-02-20,177.59,0
2024-02-21,199.02,0
2024-02-22,179.56,0
2024-02-23,175.19,0
2024-02-24,158.31,0
2024-02-25,177.29,0
2024-02-26,186.71,0
2024-02-27,182.54,0
2024-02-28,195.34,0
2024-02-29,184.75,0
2024-03-01,197.66,1
2024-03-02,151.01,0
2024-03-03,167.25,0
2024-03-04,182.1,0
2024-03-05,171.42,0
2024-03-06,179.06,0
2024-03-07,164.24,0
2024-03-08,165.51,0
2024-03-09,165.43,0
2024-03-10,174.74,0
2024-03-11,175.18,0
2024-03-12,199.48,0
2024-03-13,178.45,0
2024-03-14,167.88,0
2024-03-15,168.18,0
2024-03-16,163.72,0
2024-03-17,163.42,0
2024-03-18,159.01,0
2024-03-19,186.7,0
2024-03-20,180.01,0
2024-03-21,187.82,0
2024-03-22,172.52,0
2024-03-23,174.09,1
2024-03-24,160.53,0
2024-03-25,168.03,0
2024-03-26,187.87,0
2024-03-27,219.05,1
2024-03-28,175.54,0
2024-03-29,174.58,0
2024-03-30,158.33,0
2024-03-31,159.26,0
2024-04-01,176.61,0
2024-04-02,181.05,0
2024-04-03,187.93,0
2024-04-04,174.8,0
2024-04-05,187.22,0
2024-04-06,163.81,0
2024-04-07,180.96,1
2024-04-08,180.14,0
2024-04-09,189.39,0
2024-04-10,191.55,0
2024-04-11,190.26,0
2024-04-12,178.52,0
2024-04-13,160.24,0
2024-04-14,162.91,0
2024-04-15,177.18,0
2024-04-16,192.83,1
2024-04-17,182.16,0
2024-04-18,217.24,1
2024-04-19,186.58,0
2024-04-20,163.45,0
2024-04-21,193.09,1
2024-04-22,202.83,1
2024-04-23,216.84,0
2024-04-24,204.2,0
2024-04-25,186.24,0
2024-04-26,166.74,0
2024-04-27,173.55,1
2024-04-28,191.06,1
2024-04-29,175.25,0
2024-04-30,181.79,0
2024-05-01,211.03,1
2024-05-02,179.57,0
2024-05-03,188.84,0
2024-05-04,174.42,0
2024-05-05,170.33,0
2024-05-06,194.1,0
2024-05-07,194.74,0
2024-05-08,190.27,0
2024-05-09,221.36,1
2024-05-10,200.61,1
2024-05-11,160.02,0
2024-05-12,169.83,0
2024-05-13,176.21,0
2024-05-14,184.02,0
2024-05-15,205.53,0
2024-05-16,225.41,1
2024-05-17,166.07,0
2024-05-18,173.78,0
2024-05-19,167.11,0
2024-05-20,180.28,0
2024-05-21,191.3,0
2024-05-22,192.16,0
2024-05-23,191.49,0
2024-05-24,171.57,0
2024-05-25,172.4,0
2024-05-26,172.87,0
2024-05-27,183.23,0
2024-05-28,189.74,0
2024-05-29,215.42,1
2024-05-30,198.1,0
2024-05-31,183.18,0
2024-06-01,163.38,0
2024-06-02,175.03,0
2024-06-03,192.11,0
2024-06-04,184.61,0
2024-06-05,205.34,0
2024-06-06,207.71,1
2024-06-07,184.7,0
2024-06-08,166.05,0
2024-06-09,180.75,1
2024-06-10,174.03,0
2024-06-11,199.3,0
2024-06-12,204.03,0
2024-06-13,186.74,0
2024-06-14,186.2,0
2024-06-15,159.82,0
2024-06-16,175.62,0
2024-06-17,178.33,0
2024-06-18,194.66,0
2024-06-19,203.29,0
2024-06-20,188.05,0
2024-06-21,178.98,0
2024-06-22,182.13,0
2024-06-23,172.49,0
2024-06-24,195.66,0
2024-06-25,211.8,1
2024-06-26,208.11,0
2024-06-27,227.42,1
2024-06-28,163.24,0
2024-06-29,168.66,0
2024-06-30,182.68,0
2024-07-01,188.31,0
2024-07-02,204.77,0
2024-07-03,200.0,0
2024-07-04,197.54,0
2024-07-05,182.73,0
2024-07-06,185.33,0
2024-07-07,201.06,1
2024-07-08,193.59,0
2024-07-09,199.46,0
2024-07-10,201.89,0
2024-07-11,194.35,0
2024-07-12,188.09,0
2024-07-13,173.58,0
2024-07-14,182.3,0
2024-07-15,208.45,0
2024-07-16,230.68,1
2024-07-17,204.14,0
2024-07-18,208.38,0
2024-07-19,182.62,0
2024-07-20,161.61,0
2024-07-21,172.88,0
2024-07-22,177.84,0
2024-07-23,201.86,0
2024-07-24,207.85,0
2024-07-25,213.14,0
2024-07-26,189.46,0
2024-07-27,197.12,1
2024-07-28,188.54,0
2024-07-29,196.08,1
2024-07-30,207.52,0
2024-07-31,214.83,0
2024-08-01,188.86,0
2024-08-02,196.96,0
2024-08-03,202.54,1
2024-08-04,179.54,0
2024-08-05,199.79,0
2024-08-06,244.76,1
2024-08-07,211.08,0
2024-08-08,203.63,0
2024-08-09,185.09,0
2024-08-10,173.99,0
2024-08-11,190.46,0
2024-08-12,188.84,0
2024-08-13,208.12,0
2024-08-14,206.76,0
2024-08-15,206.44,0
2024-08-16,192.39,0
2024-08-17,190.05,0
2024-08-18,200.7,1
2024-08-19,194.48,0
2024-08-20,200.68,0
2024-08-21,207.99,0
2024-08-22,206.58,0
2024-08-23,196.74,0
2024-08-24,195.33,1
2024-08-25,192.7,0
2024-08-26,208.45,0
2024-08-27,212.77,0
2024-08-28,227.51,0
2024-08-29,198.33,0
2024-08-30,181.69,0
2024-08-31,189.43,1
2024-09-01,198.67,0
2024-09-02,203.8,0
2024-09-03,209.98,0
2024-09-04,215.7,0
2024-09-05,196.48,0
2024-09-06,212.17,0
2024-09-07,185.66,0
2024-09-08,188.53,0
2024-09-09,205.33,0
2024-09-10,215.23,0
2024-09-11,216.21,0
2024-09-12,200.12,0
2024-09-13,197.33,0
2024-09-14,200.64,0
2024-09-15,199.38,0
2024-09-16,213.22,0
2024-09-17,208.25,0
2024-09-18,207.46,0
2024-09-19,226.39,1
2024-09-20,194.96,0
2024-09-21,195.29,0
2024-09-22,176.03,0
2024-09-23,213.67,0
2024-09-24,212.04,0
2024-09-25,212.92,0
2024-09-26,200.26,0
2024-09-27,202.24,1
2024-09-28,214.08,1
2024-09-29,191.12,0
2024-09-30,192.08,0
2024-10-01,203.9,0
2024-10-02,214.61,0
2024-10-03,222.67,0
2024-10-04,194.36,0
2024-10-05,176.43,0
2024-10-06,189.53,0
2024-10-07,221.17,1
2024-10-08,193.65,0
2024-10-09,217.82,0
2024-10-10,208.43,0
2024-10-11,202.97,0
2024-10-12,204.21,0
2024-10-13,201.46,0
2024-10-14,222.16,1
2024-10-15,227.33,1
2024-10-16,239.8,0
2024-10-17,211.71,0
2024-10-18,198.47,0
2024-10-19,210.18,1
2024-10-20,214.99,1
2024-10-21,204.12,0
2024-10-22,212.55,0
2024-10-23,215.8,0
2024-10-24,211.93,0
2024-10-25,194.97,0
2024-10-26,205.63,1
2024-10-27,195.22,0
2024-10-28,224.19,1
2024-10-29,230.13,0
2024-10-30,199.92,0
2024-10-31,221.88,0
2024-11-01,210.24,0
2024-11-02,175.71,0
2024-11-03,192.59,0
2024-11-04,204.22,0
2024-11-05,207.8,0
2024-11-06,215.87,0
2024-11-07,205.23,0
2024-11-08,215.25,0
2024-11-09,200.74,0
2024-11-10,206.46,0
2024-11-11,213.92,0
2024-11-12,230.98,1
2024-11-13,218.85,0
2024-11-14,218.98,0
2024-11-15,192.41,0
2024-11-16,199.92,0
2024-11-17,195.32,0
2024-11-18,206.11,0
2024-11-19,246.66,1
2024-11-20,227.56,0
2024-11-21,213.14,0
2024-11-22,212.42,0
2024-11-23,186.52,0
2024-11-24,203.13,0
2024-11-25,214.81,0
2024-11-26,219.46,0
2024-11-27,227.58,0
2024-11-28,206.98,0
2024-11-29,211.5,0
2024-11-30,194.65,0
2024-12-01,194.98,0
2024-12-02,219.42,0
2024-12-03,217.26,0
2024-12-04,214.66,0
2024-12-05,225.49,1
2024-12-06,209.92,0
2024-12-07,206.84,1
2024-12-08,214.16,0
2024-12-09,195.33,0
2024-12-10,237.42,0
2024-12-11,248.57,1
2024-12-12,218.13,0
2024-12-13,201.67,0
2024-12-14,201.24,0
2024-12-15,220.78,1
2024-12-16,221.77,0
2024-12-17,225.72,0
2024-12-18,229.05,0
2024-12-19,216.96,0
2024-12-20,206.53,0
2024-12-21,201.47,0
2024-12-22,188.36,0
2024-12-23,203.12,0
2024-12-24,231.71,0
2024-12-25,230.17,0
2024-12-26,219.35,0
2024-12-27,208.09,0
2024-12-28,202.75,0
2024-12-29,218.68,1
2024-12-30,208.64,0
2024-12-31,228.29,0
